Time_s,depth_mm
12.55115438,7.120950173
12.59376645,7.12056296
12.602844,7.120726789
12.61208415,7.12107177
12.62357068,7.120960093
12.66597939,7.120657283
12.67539692,7.120890588
12.68446136,7.120870746
12.69387412,7.121486287
12.7391119,7.121176014
12.74802709,7.121468903
12.75749373,7.120895563
12.76707911,7.121017161
12.81131363,7.121419269
12.82066274,7.121662494
12.8298099,7.121722079
12.84057641,7.121741921
12.88283467,7.12181886
12.89198971,7.121727025
12.90137291,7.121533434
12.9116087,7.121898287
12.95572233,7.122459218
12.96487474,7.122573383
12.97409081,7.121799018
12.98519135,7.122297907
13.02908349,7.121933025
13.03824306,7.122866272
13.04732943,7.122402151
13.05946422,7.121915671
13.10266924,7.122538645
13.11181998,7.122627992
13.12094188,7.122637943
13.13272166,7.122977979
13.19240189,7.12320382
13.20158362,7.122903498
13.21081901,7.122943211
13.22130442,7.123315527
13.26506352,7.123126881
13.27412963,7.122809175
13.28322601,7.123516551
13.29690909,7.123484301
13.33769798,7.123484301
13.3469522,7.123802008
13.35605049,7.123211283
13.36673403,7.123432179
13.41298604,7.123687813
13.42211771,7.124365397
13.43155384,7.123427204
13.44185209,7.12361585
13.48659325,7.123811929
13.49581909,7.12337757
13.50514674,7.124025361
13.5143435,7.124338122
13.56079435,7.124256208
13.57009125,7.124087434
13.57923174,7.123553807
13.58875322,7.124449799
13.63527799,7.123968294
13.64464211,7.124127147
13.6542573,7.124521793
13.66535234,7.123772215
13.70972133,7.123960831
13.71888351,7.124295921
13.72805882,7.124467183
13.73767066,7.12484939
13.79323649,7.12410233
13.80228758,7.124705433
13.81138206,7.125258932
13.82123494,7.124616086
13.8675096,7.124859341
13.87671828,7.124876695
13.88638186,7.125350767
13.89726329,7.124626036
13.94141006,7.125167096
13.950665,7.125757821
13.96013093,7.125561742
13.97127032,7.125775205
14.01606441,7.12583476
14.02520251,7.125847168
14.03419685,7.125340846
14.04469848,7.125728028
14.09280539,7.126231893
14.1019454,7.126452789
14.11102152,7.125939003
14.12327504,7.125804967
14.16843128,7.126621563
14.17756939,7.126269118
14.18686724,7.126152466
14.19854522,7.12613757
14.24254799,7.126422996
14.25184846,7.126120186
14.26104331,7.125869497
14.27225804,7.12676552
14.31770778,7.127078251
14.32670903,7.126978982
14.33596253,7.126470172
14.34602308,7.126651355
14.39111948,7.12715519
14.4005816,7.127048458
14.40962005,7.126415563
14.42156768,7.127127885
14.46520424,7.126854867
14.47457623,7.127517555
14.48375058,7.127510122
14.49554467,7.126698502
14.54005408,7.127259433
14.54933977,7.127887383
14.55868387,7.12760939
14.56908679,7.127368652
14.61341953,7.127450567
14.62261796,7.127758322
14.6317656,7.127994114
14.64227796,7.127542402
14.68741727,7.127678896
14.69665027,7.128068566
14.70591998,7.127889871
14.72233605,7.127865054
14.76259422,7.128224931
14.77153945,7.128004035
14.78081465,7.127887383
14.79124975,7.127718609
14.83627367,7.128083462
14.84565449,7.128676674
14.85487127,7.128180272
14.86544538,7.128239827
14.91022253,7.128887649
14.91944933,7.128011498
14.92854548,7.128428473
14.94047379,7.128974509
14.98410606,7.128847936
14.99327064,7.128686595
15.00290442,7.129185484
15.01297188,7.128984429
15.05921197,7.128981942
15.06832862,7.129565233
15.07765365,7.129158179
15.08784223,7.129143283
15.13223982,7.129386538
